DocEntry,DocNum,CreationDate,CardCode,CardName,DocCurrency,DocRate,NumAtCard,Reference1,Comments,JournalMemo,ItemCode,ItemDescription,ShipDate,Quantity,Price,PriceAfterVAT,Currency,WarehouseCode,Rate,BarCode,GrossPrice,GrossTotal,RRP,Article,JumiaSKU,FOC,UnitsOfMeasurment,source,foldername,filename,created_at,id
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/10-US,CLASSIC LEATHER HEXALITE,2024-09-01,4.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045961,36.5238,1449.2644,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,9277d6af-676f-4054-88fa-f9536be42e52
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/11US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045992,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,56283278-e3fb-4dd6-bd57-a1130c8f90dd
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/7-US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143046944,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,fda75b11-720e-4fdc-9a73-521f976c2b4d
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/8US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143046975,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,3fc948f2-ba66-4c03-aae6-572035b27d9d
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/8US,CLASSIC LEATHER HEXALITE,2024-09-01,3.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143046975,36.5238,1086.9483,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,214d4f9d-c4ca-47f2-a37c-050163ff5450
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/8-US,CLASSIC LEATHER HEXALITE,2024-09-01,4.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047002,36.5238,1449.2644,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,0fb88aa6-ee4d-4900-9c31-81897af13bb7
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/8-US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047002,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,dd47d870-6dff-42a2-b9fe-3803d7aaa0c1
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/9US,CLASSIC LEATHER HEXALITE,2024-09-01,9.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047033,36.5238,3260.8449,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,613ab09a-dffb-4b7e-888b-14eaabf28e53
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/9US,CLASSIC LEATHER HEXALITE,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047033,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,a10b9133-f64f-4295-90d6-509894e369f3
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,8.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047064,36.5238,2898.5288,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,d4006c75-6c39-499d-b906-3168e0f02033
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047064,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,3a67ac73-4c8b-4594-af2b-3ba6485605df
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047064,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,a4773c09-2663-41a8-a4dd-9a491daee857
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,4.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047064,36.5238,1449.2644,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,c8bf452c-8020-475e-be93-4407ac5b3386
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/10US,CLASSIC LEATHER HEXALITE,2024-09-01,8.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047095,36.5238,2898.5288,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,74c232d0-ad98-4cc4-b7e8-39d0328dcb1f
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074408/10US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143047095,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195704.json,2024-11-30,e452dd71-fd32-419c-952d-cef137351182
